itemCode,itemName,longDescription,totalStock,qtyInWhs01,qtyInDemoWhs,qtyInTS01Whs,qtyInNSW01Whs,qtyInQLD01Whs,qtyInVIC01Whs,qtyInWA01Whs
53/2B,ST.LINEAR P/S DUAL 12-15VDC OP,,0,0,0,0,0,0,0,0
53/2TAP,ST.53/2 +-5 VOLTS,,0,0,0,0,0,0,0,0
53/2TAPB,"ST.53/2 +-5 VOLTS, female banana connectors","AC input with IEC ports, dual output +/-5 V, female banana connectors as the output ports",0,0,0,0,0,0,0,0
53/3BT,ST.12-15V 2.3A POWER SUPPLY,,0,0,0,0,0,0,0,0
53/3M 53,ST.SERIES LINEAR POWER SUPPLY - MODULAR,,0,0,0,0,0,0,0,0
53/3TB,ST.LINEAR P/S 12-15VDC 2.5A,,0,0,0,0,0,0,0,0
53/3TB-CCL,ST.LINEAR P/S 12-15VDC 2.3A,,0,0,0,0,0,0,0,0
53/3XCCLT,ST.LINEAR POWER SUPPLY 12V 2A,,0,0,0,0,0,0,0,0
53/4B,"ST.LINEAR P/S,24VDC 2 A",,0,0,0,0,0,0,0,0
53/4BT,ST.LINEAR P/S 24VDC 2A,,3,3,0,0,0,0,0,0
53/4TB,ST.LINEAR P/S 24VDC 2A,,0,0,0,0,0,0,0,0
53/4TB110,ST.LINEAR P/S 110VAC I/P 24VOP,,0,0,0,0,0,0,0,0
53/5BT,ST.5V LINEAR POWER SUPPLY,,0,0,0,0,0,0,0,0
53/6B,ST.TRIPLE O/P LINEAR PSU,,0,0,0,0,0,0,0,0
AC0001,MM. Waterproof MIC Cable,,0,0,0,0,0,0,0,0
ACP285,KE.0009-153218 4PIN SOCK WO/FL,,42,42,0,0,0,0,0,0
ACS2004,KE.0009-253460 5 PIN SOCKET,,0,0,0,0,0,0,0,0
ADSP1000,KE.IA8508A DSP,,0,0,0,0,0,0,0,0
AFFAF2012MZ-150,FP.AF2012UMZ-150 (CONFIRMED EQUIVALENT WITH FPE FOR AKO 226.0121 050 THERMOSTATIC VALVE),,0,0,0,0,0,0,0,0
AMD0950,OY.9697QM773Q-D,(TF)ASS'Y.COM-QM77.Rev.B1.1_0_0.W/i7-3555LE.BGA1023 For Onyx,0,0,0,0,0,0,0,0
AMD0955,OY.9699M19768,(AOH)(TF)ASS'Y.OCB-M197.Rev.A0.8.I/O Board.ZEUS series for Schwind.w/Sunjet TK.BOM Cost,0,0,0,0,0,0,0,0
AMD1000,OY.VENUS-222ST-A1-1010,Cart Computer.J1900.22.Fanless.PCT.4GB RAM.SCR.TPM.Battery x 2,0,0,0,0,0,0,0,0
AMD10011,OY.VENUS-222ET-A1-1110,"Cart Computer.J1900.22"".Fanless.R-TS.4G.SCR.TPM.XL Battery x2",0,0,0,0,0,0,0,0
AMD1004,NS.2 CORE 7.5A DBL INSL CABLE,,0,0,0,0,0,0,0,0
AMD1005,OY.VENUS-222ET-C5-1010,"Cart Computer.J1900.22.Fanless.R-TS.8G RAM.SCR.TPM.Battery x 2,128G HD (968C128G37), Intel 7260 (OPM-C09W-A0), IGEL Image load",0,0,0,0,0,0,0,0
AMD1006,OY.VENUS-222ET-C7-1010,"Cart Computer.J1900.22"".Fanless.R-TS.8G.SCR.TPM.128GB SSD.Intel WiFi.Std Battery x2",1,0,1,0,0,0,0,0
AMD10061,OY.VENUS-222ST-C7-9999,"Cart Computer.J1900.22"".Fanless.PCP.8G.SCR.TPM.128GB SSD.Intel WiFi.Std Battery x2",0,0,0,0,0,0,0,0
AMD1008,OY.VENUS-222ET-C8-1010,"Cart Computer.J1900.22"".Fanless.R-TS.8G.SCR.TPM.128GB SSD.WiFi AR5B22.2MP Camera.W7 PRO 64bit English.XL Battery x2",1,0,1,0,0,0,0,0
AMD101,OY.OPT-ESL1,1 Year Warranty Extension (3 years wty),0,0,0,0,0,0,0,0
AMD1010,OY.R-VENUS-222ET-0001,Cart Computer.J1900.22.Fanless.R-TS.8G RAM.SCR.TPM.Battery x 2,0,0,0,0,0,0,0,0
AMD10101,OY.VENUS-222ET-C6-1010,"Cart Computer.J1900.22.Fanless.R-TS.8G RAM.SCR.TPM.std batteries+128GB SSD,WLAN AR5B22,W7PE",0,0,0,0,0,0,0,0
AMD1017,OY.RS-VENUS-173ET-1010,"SlimLine.17"".i7-6600U,R-TS,8GB RAM,M.2 256GB Storage,WiFi Intel, W10 Pro, Adaptor with Aus Pwr cord,2xbatteries",1,0,1,0,0,0,0,0
AMD1020,OY.VENUS-192ET-A1-1010,Cart Computer.J1900.19.Fanless.R-TS.4G RAM.SCR.TPM.Battery x 2,1,0,1,0,0,0,0,0
AMD1028,OY.MCT-K100,Medical RFID Cart,1,0,1,0,0,0,0,0
AMD103,OY.OPT-ESL3,3 Year Warranty Extension (5 years wty),0,0,0,0,0,0,0,0
AMD1031,OY.MATE-1903ST-A2-1010,MATE.PPC.i5-6500TE.19.DC 12V.PCT.4G RAM,0,0,0,0,0,0,0,0
AMD1032,OY.MATE-1903ST-C3-1010,"PPC.i7-6700TE.19.DC 12V.PCT.8G RAM.256GB SSD,WiFi Intel,W7,P/A with AusPowerCord",0,0,0,0,0,0,0,0
AMD1035,OY.R-MATE-2201ET-0002,"PPC.i3-4330TE.22"".Fanless.DC 12~24V.R-TS.8G RAM",1,0,1,0,0,0,0,0
AMD10371,OY.MATE-2203ST-A2-1010(SATO),PPC.i5-6500TE.22.DC 12V.PCT.4G RAM,0,0,0,0,0,0,0,0
AMD1038,OY.R-MATE-2401ST-0001,"PPC.i5-4570TE.24"".Fanless.DC 12~24V.PCT.8G RAM",0,0,0,0,0,0,0,0
AMD1039,OY.MATE-2401ST-C2-1010,"PPC.i5-4570TE.24"".Fanless.DC 12~24V.PCT.8G RAM.128GB SSD.WiFi AR5B22.Adaptor.W7 PRO",0,0,0,0,0,0,0,0
AMD1040,OY.RS-MATE2-2412- 0004,"13th i7-13700TE, Intel UHD graphics 770, 16GB RAM, 512GB M.2 SATA SSD, Windows 11 Pro",0,0,0,0,0,0,0,0
AMD10401,OY.RS-MATE2-2412-P3-A2,"PPC, 13th i5-13500TE, 24"", AC 100~240V, PCT, 16G RAM, 512G SSD, W11 Pro. Imprivata RFID, 2 years warranty",0,0,0,0,0,0,0,0
AMD1041,OY.MATE-2203ET-C3-1010,"PPC.i3-6100TE.22"".Fanless.DC 12~24V.R-TS.4G RAM.256G SSD.WiFi.Adaptor with Aus Power Cord",0,0,0,0,0,0,0,0
AMD1042,OY.MATE-2203ET-A3-1010,"PPC.i3-6100TE.22"".Fanless.DC 12~24V.R-TS.4G RAM.256G SSD.WiFi.Adaptor with Aus Power Cord",0,0,0,0,0,0,0,0
AMD1043,OY.MATE-2203ST-A2-1010,"PPC.i5-4570TE.22"".Fanless.DC 12~24V.PCT.4G RAM",0,0,0,0,0,0,0,0
AMD1044,OY.MATE-2203ST-C31-1010,MATE-2203ST-A1-1010 (PPC.i7-6700TE.22.DC 12V.PCT) DDR4-16G-001 ( AOH)(TF) Memory Module.16GB.DDR4 2133.SODIMM.260 Pin OPM-C12W-A2 (Wlan kit.802.11a/b/g/n/ac  w/BT4.1.Dula int.antenna.Qualcomm Atheros NFA364A.for MATE-xx03 1255301301 (AOH)(TF) Medical Power Supply Adaptor AC/DC 100-240V.24v.5.41A.130W.W/Lock core.                   EDAC.EM11201B(06).For MATE Series. 1702031805 (AOH)(TF)Power Cord.3P.10A 250V.1.8M.Australia.I-Sheng.SP-502B/IS-14 SSD-001TB-001 (AOH)(TF) 2.5 SATA3 SSD.TLC.1TB,3,3,0,0,0,0,0,0
AMD1045,OY.MATE-2403ST-C4-1010,"PPC.I5-6500TE.24"".DC 12V.PCT.16GB RAM.256GB SSD.W10V.Adaptor Card.AUS Power Cord",1,0,1,0,0,0,0,0
AMD1046,OY.MATE2-2212-P3-H1-1610,"PPC. i5-13500TE. 22"". 2 COM. AC 100~240V. 16GB DDR5. 512GB SSD. PCT.WIFI+BT",0,0,0,0,0,0,0,0
AMD1047,OY.MATE2-2412-P3-H1-1610,"PPC. i5-13500TE. 24"". 2 COM. AC 100~240V. 16GB DDR5. 512GB SSD. PCT.WIFI+BT",0,0,0,0,0,0,0,0
AMD1048,OY.MATE-2403ST-C8-1010,"24"" MATE,I5,PCT,16GB RAM,256GB SSD,wifi/BT Kit,P/A with AUS power cord.",1,0,1,0,0,0,0,0
