customerCode,customerName,customerNotes
1414D5,1414 Degrees Ltd,
1OCON8,Lendlease Real Estate Investments,
360TS2,360 Traffic Surveys Pty Ltd,
3METGY,3ME Technology,
AAEL2,Autowise Auto Electrics Pty Ltd,15% Discount
AAEL5,Active Auto Electrical And Air Conditioning,
AAGA4,AAG Automotive,
ABBI2A,ABB Australia Pty Limited,Vendor No: 1100078921
ABSP2,Specialist Wholesalers Pty ltd,Previously Absolute spare changed ownership 01/08/22
ABTP8,AB Traffic and Parking Pty Ltd,
ACAC4,Auto Cable And Accessories,
ACCE3,AC Systems Controls,
ACCLM-TS,ACCLM Holdings Pty Ltd,
ACCO8,Albury City Council,
ACFR2,Australian Centre for Field Robotics,
ACSY6A,Auto Control Systems,
ACTG8,ACT Government,
ACTO2,ACT Forklifts,
ACUN2,Australian Catholic University,
ACVI2,Acu-Vib,
ADCO2A,Armidale Regional Council,
ADEA5,F.C & J.A Helle-Broe T/S Adelaide Earmoulds,
ADEI6,AD Engineering International,
ADIN2,ADInstruments NZ Ltd,
ADMA2,Access Diagnostics & Maintenance,
ADME2,All Diesel Mechanical,25% Trrade Discount
ADPA4,ADEParts,
ADPP2,MPower Projects Pty Ltd,
ADSY4,All Diesel Systems,Discount 10%
ADTE0U,Adlink Techonology Inc,
ADVA3,adant,
ADVA6,Advanteering Civil Engineers,
AEDE4,Andrews Electronics Designs Pty Ltd,
AEFG2,Aegis Fire Guard,No Discount
AEIM4,Auto Electrical Imports Pty Ltd,35% Discount
AESE3,ARA Electrical Services,
AETC2,Engineered Products Group P/L,
AETE2,Aervision Technology Pty Ltd,
AEVE2,Australian Electric Vehicles,25% discount for 10+ 20% discount for lesser qty
AFEL2,A-Force Electrics (Australia) Pty Ltd,
AFGRI6,AFGRI Equipment Australia Pty Ltd,
AFJV2,Acciona Ferrovial Joint Venture,
AFPO2,Australian Federal Police,
AFPO6,Aussie Fluid Power,
AFTN2,Advance Fire Technology Pty Ltd,
AGDE2,Attorney General's Department,
AGHY4,Agnes Hydraulics Service,
AGRE8,Agriparts & Repairs,
AGSC5,A G Schillings & Co,
AHKP8,Arana Hills Plaza,
AHLA3,Australian Hearing Laboratory,
AIHYS3U,AI hycloud solutions,
AIME2,Enviroline,20% discount - 4-5 per month both 12 & 24 Volt
AIMS4,Australian Institute of Marine Science,
AIOB4,AIO BUILDING SERVICES PTY LTD,
AISE6A,Aisat Instruments Retail Unit,
AJSM2,AJS Machinery,
ALAC4,Cozy'S Rural And Mechanical,
ALCC8,Alb,
ALCN4,Allclass North,25% Discount frin 15/04/21
ALECT8,A-lect,10% DISCOUNT
ALEN0,Alert Engineering Ltd,
ALHA3,Alfons Haar Pty Ltd,
ALHE3,L&H Group,
ALIN3,Alterra Industries,
ALINT6,Alinta Dewap Pty Ltd,
ALLP4,ALL-PUMPS,
ALPE2,Alexander Perrie & Co Pty Ltd,30% Discount
ALPU6,Allied Pumps Pty Ltd,
ALTDIS,Altronic Distributors Pty Ltd,
ALTR4,ALTRAD,
ALTRAC,Altrac AG,
AMAU8,Amway Of Australia,
AMDIPL,Advanced Microsystems Design Integration Pty Ltd,
AMEQ2,Australian Mining Equipment Pty Ltd,No Discount
AMEX4,Australia Mining Export Pty Ltd,
AMTE2B,Industrea Mining Equipment,
ANDAU,Anduril Australia Pty Ltd,
ANDAU2,Anduril Australia Pty Ltd,
ANMA2,ANM Auto Electrics Pty ltd,
ANRE2,ARC Traffic + Transport,
ANTG8,Antec Group Pty Ltd,
ANUACT,Australian National University,
ANUN2,Siding Spring Obversatory Australian National University,
ANURSP,Australian National University,
ANWSC,Anywise Consulting Pty Ltd,
APCT5,APC Technology Pty Ltd,
APCT5U,APC Technology Pty Ltd,
APEC8,Apec Electrical And Communication Services,
APEL8,Apex Electrical Contracting Pty Ltd,
APPO3,Apsu Power Pty Ltd,
APPU3,All Purpose Pumps Pty Ltd,
APRE5,Apr Engergy Pty Ltd,
ARCC2,ARCC Pty Ltd,
ARCE2,Fortius Sydney Homemaker Trust,
ARCI6,arc-i Welding Industries,
ARKE3U,Arkeus Pty Ltd,
ARLA2,Acoustic Research Laboratories,
ARMPH,Armidale Private Hospital,
ARTC2,ARTC,
ARUP,ARUP,
ASAP4,A Supply Of All Parts,
ASCI3,Alpine Shire Council,
ASFT2,Asf Tours,
ASHI2,Astute Hire,
ASHI3,Ashi Hire,
ASIN4,Ashdown-Ingram,45% discount
ASIS2U,Asi Solutions,
ASIVCG,Asiv Construction Group Pty Ltd,
ASLC0,Aspect Solutions Ltd,
ASMA2B,Als Signs,
ASMA8A,Trust C/- Jones Lang Lasalle,
ASRE6,Asiarep Resources,
ASSE4,Australasian Safety Services,
ATAD4,All Torque Automotive And Diesel Pty Ltd,
ATBM2,ATB Morton,
ATGD2,Attorney General'S Department,
ATPA4,Access Tractor Parts,
ATSU2Q,Austraffic (QLD),
ATSU8N,Austraffic (NSW) Pty Ltd,
ATSU8S,Austraffic (SA) Pty Ltd,
ATSU8V,Austraffic (VIC) Pty Ltd,
AUCO2,Cumberland Council,
