customerCode,customerName,customerCurrency,salesEmployeeName,paymentTerm,billingAddress,shippingAddress,creationDate,firstInvoiceDate,lastInvoiceDate
1414D5,1414 Degrees Ltd,AUD,Jennifer Chen,CallOfDuty,"Level 4, 81 Flinders Street, Adelaide SA 5000 Australia","Level 4, 81 Flinders Street, Adelaide SA 5000 Australia",29/06/2020,,
1OCON8,Lendlease Real Estate Investments,AUD,Kurt Schober,Net 30 Days,Australia,Australia,29/06/2020,,
360TS2,360 Traffic Surveys Pty Ltd,AUD,Karen Riddell,COD,"13/14 Loyalty Road, North Rocks NSW 2151 Australia","108 Grose Road, Falconbridge NSW 2776 Australia",19/09/2024,25/09/2024,28/01/2025
3METGY,3ME Technology,AUD,Kurt Schober,COD,"36 Munibung Road, Cardiff NSW 2285 Australia","36 Munibung Road, Cardiff NSW 2285 Australia",11/09/2024,12/09/2024,12/09/2024
AAEL2,Autowise Auto Electrics Pty Ltd,AUD,Karen Riddell,Net 30 Days,"PO Box 519, Unanderra NSW 2526 Australia","Unit 4, 225 Princes Highway, Unanderra NSW 2526 Australia",29/06/2020,22/04/2021,14/04/2025
AAEL5,Active Auto Electrical And Air Conditioning,AUD,Karen Riddell,COD,"22 Knott Street, Mount Barker SA 5251 Australia","22 Knott Street, Mount Barker SA 5251 Australia",29/06/2020,,
AAGA4,AAG Automotive,AUD,Karen Riddell,COD,"Unit 1, 451 Newman Road, Geebung QLD 4034 Australia","Unit 1, 451 Newman Road, Geebung QLD 4034 Australia",29/06/2020,,
ABBI2A,ABB Australia Pty Limited,AUD,Karen Riddell,Net 30 Days,"757 Ann Street, Fortitude Valley QLD 4006 Australia","757 Ann Street, Fortitude Valley QLD 4006 Australia",29/06/2020,30/06/2020,30/06/2020
ABSP2,Specialist Wholesalers Pty ltd,AUD,Karen Riddell,COD,"79 Fraser Street, Narrabri NSW 2390 Australia","79 Fraser Street, Narrabri NSW 2390 Australia",16/06/2022,13/07/2022,13/07/2022
ABTP8,AB Traffic and Parking Pty Ltd,AUD,Karen Riddell,COD,"16 Howarth St, Ropes Crossing NSW 2760 Australia","16 Howarth Street, Ropes Crossing NSW 2760 Australia",30/09/2021,11/02/2022,11/02/2025
ACAC4,Auto Cable And Accessories,AUD,Karen Riddell,COD,"Unit 3, 29 Collinsvale Street, Rocklea QLD 4106 Australia","Unit 3, 29 Collinsvale Street, Rocklea QLD 4106 Australia",29/06/2020,,
ACCE3,AC Systems Controls,AUD,Jennifer Chen,Net 30 Days,"PO Box 37, Mt Evelyn VIC 3796 Australia",Australia,8/02/2021,,
ACCLM-TS,ACCLM Holdings Pty Ltd,AUD,Matt Bellingham,COD,"46 David St, Greenacre NSW 2190 Australia","Auburn Rd, Yagoona NSW 2199 Australia",11/12/2020,21/12/2020,21/12/2020
ACCO8,Albury City Council,AUD,Karen Riddell,Net 30 Days,"553 Kiewa Street, Albury NSW 2640 Australia","553 Kiewa Street, Albury NSW 2640 Australia",28/07/2023,28/07/2023,23/06/2025
ACFR2,Australian Centre for Field Robotics,AUD,Jennifer Chen,COD,"Blg J04, University of Sydney NSW 2006 Australia",Australia,1/06/2022,1/07/2022,1/07/2022
ACSY6A,Auto Control Systems,AUD,Jennifer Chen,Net 30 Days,"266 Treasure Road, Welshpool WA 6106 Australia","266 Treasure Road, Welshpool WA 6106 Australia",20/12/2021,21/01/2022,21/01/2022
ACTG8,ACT Government,AUD,Karen Riddell,Net 30 Days,"GPO Box 158, Canberra ACT 2601 Australia","Forest Drive Off Tuggeranong Parkway, Molonglo ACT 2611 Australia",18/09/2020,22/09/2020,1/08/2025
ACTO2,ACT Forklifts,AUD,Karen Riddell,COD,"Unit 28, 11 Lorn Road, Crestwood NSW 2620 Australia","Unit 28, 11 Lorn Road, Crestwood NSW 2620 Australia",29/06/2020,,
ACUN2,Australian Catholic University,AUD,Karen Riddell,Net 30 Days,"127 Phillip Avenue, Watson ACT  Australia","127 Phillip Avenue, Watson ACT  Australia",10/06/2025,11/06/2025,11/06/2025
ACVI2,Acu-Vib,AUD,Jennifer Chen,COD,"Unit 14, 22 Hudson Avenue, Castle Hill NSW 2154 Australia","Unit 14, 22 Hudson Avenue, Castle Hill NSW 2154 Australia",29/06/2020,30/06/2020,23/10/2023
ADCO2A,Armidale Regional Council,AUD,Karen Riddell,Net 30 Days,"PO Box 75A, Armidale NSW 2350 Australia","PO Box 75A, Armidale NSW 2350 Australia",29/06/2020,24/02/2021,9/08/2024
