partCode,description,poDate,poNum,poItem,supplierCode,supplierName,qty,currency,price
AMD1005,OY.VENUS-222ET-C5-1010,22/07/20,100066,1,ONYX0,Onyx Healthcare Incc,11,USD,1601
AMD1006,OY.VENUS-222ET-C7-1010,01/12/21,100854,3,ONYX0,Onyx Healthcare Incc,4,USD,1455
AMD1006,OY.VENUS-222ET-C7-1010,04/11/21,100819,4,ONYX0,Onyx Healthcare Incc,12,USD,1510
AMD1006,OY.VENUS-222ET-C7-1010,08/10/21,100781,3,ONYX0,Onyx Healthcare Incc,4,USD,2180
AMD1006,OY.VENUS-222ET-C7-1010,09/07/21,100641,1,ONYX0,Onyx Healthcare Incc,4,USD,1510
AMD1006,OY.VENUS-222ET-C7-1010,26/05/21,100565,1,ONYX0,Onyx Healthcare Incc,13,USD,1300
AMD1006,OY.VENUS-222ET-C7-1010,26/05/21,100564,1,ONYX0,Onyx Healthcare Incc,9,USD,1300
AMD1006,OY.VENUS-222ET-C7-1010,13/05/21,100536,1,ONYX0,Onyx Healthcare Incc,1,USD,1300
AMD1006,OY.VENUS-222ET-C7-1010,30/03/21,100469,1,ONYX0,Onyx Healthcare Incc,1,USD,1300
AMD1006,OY.VENUS-222ET-C7-1010,19/03/21,100456,1,ONYX0,Onyx Healthcare Incc,5,USD,1300
AMD1006,OY.VENUS-222ET-C7-1010,05/03/21,100421,1,ONYX0,Onyx Healthcare Incc,17,USD,1300
AMD1006,OY.VENUS-222ET-C7-1010,25/08/20,100137,1,ONYX0,Onyx Healthcare Incc,2,USD,1405
AMD1006,OY.VENUS-222ET-C7-1010,05/08/20,100095,1,ONYX0,Onyx Healthcare Incc,4,USD,1697.5
AMD1006,OY.VENUS-222ET-C7-1010,05/08/20,100091,1,ONYX0,Onyx Healthcare Incc,16,USD,1405
AMD1006,OY.VENUS-222ET-C7-1010,22/07/20,100066,2,ONYX0,Onyx Healthcare Incc,1,USD,1350
AMD102S,OY.OPT-ESL2,08/07/24,101774,3,ONYX0,Onyx Healthcare Incc,2,USD,218
AMD103,OY.OPT-ESL3,01/12/21,100854,5,ONYX0,Onyx Healthcare Incc,4,USD,292.5
AMD103,OY.OPT-ESL3,09/07/21,100641,5,ONYX0,Onyx Healthcare Incc,4,USD,292.5
AMD103,OY.OPT-ESL3,26/05/21,100565,5,ONYX0,Onyx Healthcare Incc,13,USD,292.5
AMD103,OY.OPT-ESL3,26/05/21,100564,5,ONYX0,Onyx Healthcare Incc,9,USD,292.5
AMD103,OY.OPT-ESL3,13/05/21,100536,5,ONYX0,Onyx Healthcare Incc,1,USD,292.5
AMD103,OY.OPT-ESL3,30/03/21,100469,4,ONYX0,Onyx Healthcare Incc,1,USD,292.5
AMD103,OY.OPT-ESL3,19/03/21,100456,4,ONYX0,Onyx Healthcare Incc,5,USD,292.5
AMD103,OY.OPT-ESL3,05/03/21,100421,5,ONYX0,Onyx Healthcare Incc,17,USD,292.5
AMD103,OY.OPT-ESL3,30/10/20,100251,2,ONYX0,Onyx Healthcare Incc,1,USD,451.35
AMD103,OY.OPT-ESL3,25/08/20,100137,4,ONYX0,Onyx Healthcare Incc,2,USD,292.5
AMD103,OY.OPT-ESL3,05/08/20,100091,3,ONYX0,Onyx Healthcare Incc,16,USD,292.5
AMD1040,OY.RS-MATE2-2412- 0004,01/09/23,101470,1,ONYX0,Onyx Healthcare Incc,6,USD,2244
AMD10401,OY.RS-MATE2-2412-P3-A2,22/11/23,101546,1,ONYX0,Onyx Healthcare Incc,1,USD,1989
AMD1044,OY.MATE-2203ST-C31-1010,08/10/21,100785,1,ONYX0,Onyx Healthcare Incc,3,USD,2296
AMD1044,OY.MATE-2203ST-C31-1010,26/08/21,100713,1,ONYX0,Onyx Healthcare Incc,12,USD,2296
