soNumber,customerOrderNo,salesEmployee,customerCode,customerName,partCode,description,stockQty,outstandingQty,dueDate,outstandingValue(LC),outstandingValue(FC),outstandingQty,dueDate
407143,16685,Karen Riddell,ENIQ4,Eniquest Independent Power Innovations,AXE31493,SO.SA-4574-24 (0175-24S5LS),7,10,05/09/25,6714.5,0,10,05/09/25
407143,16685,Karen Riddell,ENIQ4,Eniquest Independent Power Innovations,ZP-0001-MC,MM.FREIGHT CHARGES (M-Class),0,1,05/09/25,30,0,1,05/09/25
407143,16685,Karen Riddell,ENIQ4,Eniquest Independent Power Innovations,AXE31493,SO.SA-4574-24 (0175-24S5LS),7,10,10/10/25,6714.5,0,10,10/10/25
407143,16685,Karen Riddell,ENIQ4,Eniquest Independent Power Innovations,ZP-0001-MC,MM.FREIGHT CHARGES (M-Class),0,1,10/10/25,30,0,1,10/10/25
407143,16685,Karen Riddell,ENIQ4,Eniquest Independent Power Innovations,AXE31493,SO.SA-4574-24 (0175-24S5LS),7,10,07/11/25,6714.5,0,10,07/11/25
407143,16685,Karen Riddell,ENIQ4,Eniquest Independent Power Innovations,ZP-0001-MC,MM.FREIGHT CHARGES (M-Class),0,1,07/11/25,30,0,1,07/11/25
407143,16685,Karen Riddell,ENIQ4,Eniquest Independent Power Innovations,AXE31493,SO.SA-4574-24 (0175-24S5LS),7,10,05/12/25,6714.5,0,10,05/12/25
407143,16685,Karen Riddell,ENIQ4,Eniquest Independent Power Innovations,ZP-0001-MC,MM.FREIGHT CHARGES (M-Class),0,1,05/12/25,30,0,1,05/12/25
407143,16685,Karen Riddell,ENIQ4,Eniquest Independent Power Innovations,AXE31493,SO.SA-4574-24 (0175-24S5LS),7,10,09/01/26,6714.5,0,10,09/01/26
407143,16685,Karen Riddell,ENIQ4,Eniquest Independent Power Innovations,ZP-0001-MC,MM.FREIGHT CHARGES (M-Class),0,1,09/01/26,30,0,1,09/01/26
407143,16685,Karen Riddell,ENIQ4,Eniquest Independent Power Innovations,AXE31493,SO.SA-4574-24 (0175-24S5LS),7,10,06/02/26,6714.5,0,10,06/02/26
407143,16685,Karen Riddell,ENIQ4,Eniquest Independent Power Innovations,ZP-0001-MC,MM.FREIGHT CHARGES (M-Class),0,1,06/02/26,30,0,1,06/02/26
407143,16685,Karen Riddell,ENIQ4,Eniquest Independent Power Innovations,AXE31493,SO.SA-4574-24 (0175-24S5LS),7,10,06/03/26,6714.5,0,10,06/03/26
407143,16685,Karen Riddell,ENIQ4,Eniquest Independent Power Innovations,ZP-0001-MC,MM.FREIGHT CHARGES (M-Class),0,1,06/03/26,30,0,1,06/03/26
407143,16685,Karen Riddell,ENIQ4,Eniquest Independent Power Innovations,AXE31493,SO.SA-4574-24 (0175-24S5LS),7,10,10/04/26,6714.5,0,10,10/04/26
407143,16685,Karen Riddell,ENIQ4,Eniquest Independent Power Innovations,ZP-0001-MC,MM.FREIGHT CHARGES (M-Class),0,1,10/04/26,30,0,1,10/04/26
407143,16685,Karen Riddell,ENIQ4,Eniquest Independent Power Innovations,AXE31493,SO.SA-4574-24 (0175-24S5LS),7,45,08/05/26,30215.25,0,45,08/05/26
407143,16685,Karen Riddell,ENIQ4,Eniquest Independent Power Innovations,ZP-0001-MC,MM.FREIGHT CHARGES (M-Class),0,1,08/05/26,30,0,1,08/05/26
407143,16685,Karen Riddell,ENIQ4,Eniquest Independent Power Innovations,AXE31493,SO.SA-4574-24 (0175-24S5LS),7,60,12/06/26,40287,0,60,12/06/26
407143,16685,Karen Riddell,ENIQ4,Eniquest Independent Power Innovations,ZP-0001-MC,MM.FREIGHT CHARGES (M-Class),0,1,12/06/26,30,0,1,12/06/26
407605,PO015902,Karen Riddell,PEBR3U,Peacock Bros,AMD2256,OY.VENUS-224-P65-C2-1602,0,50,22/08/25,176997.35,113650,50,22/08/25
407610,321514,Jennifer Chen,DEBE4U,Debetrek,AMD2256,OY.VENUS-224-P65-C2-1602,0,25,15/08/25,73725.92,47450,25,15/08/25
407610,321514,Jennifer Chen,DEBE4U,Debetrek,ZP-0001-SL,MM.FREIGHT CHARGES (Sales),0,1,15/08/25,396.21,255,1,15/08/25
407612,321627,Jennifer Chen,DEBE4U,Debetrek,AMD2256,OY.VENUS-224-P65-C2-1602,0,60,15/08/25,176942.2,113880,60,15/08/25
407612,321627,Jennifer Chen,DEBE4U,Debetrek,ZP-0001-SL,MM.FREIGHT CHARGES (Sales),0,1,15/08/25,4959.6,3192,1,15/08/25
407837,PO0000512,Jennifer Chen,RMEM8,R.M.E.M Engineering,AS06461,AL.93-43401-160E (HPERC-KBLMH-100XN-RAFA),0,10,04/08/25,333950,0,10,04/08/25
407837,PO0000512,Jennifer Chen,RMEM8,R.M.E.M Engineering,ZP-0001-SL,MM.FREIGHT CHARGES (Sales),0,10,04/08/25,300,0,10,04/08/25
407839,Monitor9772,Kurt Schober,MOBM2,Monitor Business Machines Pty Ltd,AS07327,TE.RUT951 LTE Cat4 Router,0,1,04/08/25,320,0,1,04/08/25
407839,Monitor9772,Kurt Schober,MOBM2,Monitor Business Machines Pty Ltd,ZP-0001-SL,MM.FREIGHT CHARGES (Sales),0,1,04/08/25,35,0,1,04/08/25
407839,Monitor9772,Kurt Schober,MOBM2,Monitor Business Machines Pty Ltd,AS07350,TE.RMS CREDIT (SW),136,35,04/08/25,77.7,0,35,04/08/25
407842,16438.,Karen Riddell,ENIQ4,Eniquest Independent Power Innovations,AXE31493,SO.SA-4574-24 (0175-24S5LS),7,47,04/08/25,31558.15,0,47,04/08/25
407842,16438.,Karen Riddell,ENIQ4,Eniquest Independent Power Innovations,AXE31493,SO.SA-4574-24 (0175-24S5LS),7,10,10/10/25,6714.5,0,10,10/10/25
407842,16438.,Karen Riddell,ENIQ4,Eniquest Independent Power Innovations,AXE31493,SO.SA-4574-24 (0175-24S5LS),7,10,14/11/25,6714.5,0,10,14/11/25
407842,16438.,Karen Riddell,ENIQ4,Eniquest Independent Power Innovations,AXE31493,SO.SA-4574-24 (0175-24S5LS),7,10,19/12/25,6714.5,0,10,19/12/25
407842,16438.,Karen Riddell,ENIQ4,Eniquest Independent Power Innovations,AXE31493,SO.SA-4574-24 (0175-24S5LS),7,10,16/01/26,6714.5,0,10,16/01/26
407842,16438.,Karen Riddell,ENIQ4,Eniquest Independent Power Innovations,AXE31493,SO.SA-4574-24 (0175-24S5LS),7,10,13/02/26,6714.5,0,10,13/02/26
407842,16438.,Karen Riddell,ENIQ4,Eniquest Independent Power Innovations,AXE31493,SO.SA-4574-24 (0175-24S5LS),7,10,13/03/26,6714.5,0,10,13/03/26
407842,16438.,Karen Riddell,ENIQ4,Eniquest Independent Power Innovations,AXE31493,SO.SA-4574-24 (0175-24S5LS),7,10,17/04/26,6714.5,0,10,17/04/26
407842,16438.,Karen Riddell,ENIQ4,Eniquest Independent Power Innovations,AXE31493,SO.SA-4574-24 (0175-24S5LS),7,10,15/05/26,6714.5,0,10,15/05/26
407842,16438.,Karen Riddell,ENIQ4,Eniquest Independent Power Innovations,AXE31493,SO.SA-4574-24 (0175-24S5LS),7,10,12/06/26,6714.5,0,10,12/06/26
407843,4501096663,Karen Riddell,ENFLX4,Enerflex Service,AVT0995,FP.AL075D1-120:EFS,0,1,02/09/25,760,0,1,02/09/25
407844,4500149957,Karen Riddell,OREN1,Origin Energy,AVTSF1530PVW4,FP.SF1530PVW4-X53-130,0,1,02/09/25,2441,0,1,02/09/25
407844,4500149957,Karen Riddell,OREN1,Origin Energy,ZP-0001-SL,MM.FREIGHT CHARGES (Sales),0,1,02/09/25,45,0,1,02/09/25
407846,POH2500519,Karen Riddell,FDAG6,Flexible Drive Pty Ltd,AXS1731833,SO.1751ES-12E2UC3B1S5,0,15,05/08/25,2447.25,0,15,05/08/25
407846,POH2500519,Karen Riddell,FDAG6,Flexible Drive Pty Ltd,ZP-0001-MC,MM.FREIGHT CHARGES (M-Class),0,1,05/08/25,30,0,1,05/08/25
407850,S840457613,Karen Riddell,GPCAP4,Gpc Asia Pacific Pty Ltd,AXSP2028,SO.SA-4153 BOOT 2000/1751 SIL,119,20,06/08/25,154,0,20,06/08/25
407850,S840457613,Karen Riddell,GPCAP4,Gpc Asia Pacific Pty Ltd,AXSP018,SO.SA-0008-A C'YOKE,77,20,06/08/25,594,0,20,06/08/25
407850,S840457613,Karen Riddell,GPCAP4,Gpc Asia Pacific Pty Ltd,AXSP010,SO.SA-4049 IN-LINE SWIVEL,108,20,06/08/25,330,0,20,06/08/25
