partCode,description,longDescription,category,subCategory,brand,inventoryUOM,procurementMethod,stockOnHand,committed,ordered,available,storageLocation
AS9402,AA.125300611,(TF)Power Adapter.DC.100/240V.12V.5A.60W.2p phoenix P=3.81mm.FSP.FSP060-DHAN3/9NA0608085,,,Aaeon,Each,B,0,0,0,0,
AS9400,AA.BOXER-8221AI-A2-1110,BOXER-8221AI AI@Edge Compact Fanless Embedded BOX PC with NVIDIA Jetson Nano BV 4GB RAM 32GB,,,Aaeon,,B,0,0,0,0,1A6
AS9401,AA.BOXER-8251AI-A1-1010,BOXER-8251AI AI@Edge Compact Fanless Embedded BOX PC with NVIDIA Jetson Xavier NX 8GB and 16GBeMMC,,,Aaeon,,B,0,0,0,0,
AS0780,AA.EPIC-KBS7-A10-0002,,,,Aaeon,,B,0,0,0,0,
AS07801,AA.EPIC-KBS7-FAN02,,,,Aaeon,,B,0,0,0,0,
CLA5/85-265/5,AC TO DC CNVTR 265VAC TO 5VDC,,,,Advanced Computer Solutions,,B,4,0,0,4,
MUP106,AD.BATTHOLDER 7.2 HOLDER,,,,Abi Data,,B,0,0,0,0,
MUP1055,AD.BATTHOLDER127,,,,Abi Data,,B,0,0,0,0,
AS0758,AD.BRACKET FOR SSD MXE-5400,,,,Abi Data,,B,0,0,0,0,1A6
MUP116,AD.CB12245AJ,,,,Abi Data,,B,1,0,0,1,1I2
MUP110,AD.CB123A BATTERY CHARGER,,,,Abi Data,,B,0,0,0,0,
MUP129,AD.CB304A-BU,Battery Charger 30VDC 3A,,,Adel System,Each,B,0,0,0,0,
MUP115,AD.CBI1210A DC-UPS 12VDC 10A,,,,Abi Data,,B,27,0,0,27,1I4
MUP126,AD.CBI1235A,,,,Abi Data,,B,0,0,0,0,
MUP113,AD.CBI123A UPS 12V OUT 3A,,,,Abi Data,,B,9,0,0,9,1I4
MUP111,AD.CBI126A,,,,Abi Data,,B,2,0,0,2,
MUP119,AD.CBI2410A,,,,Abi Data,,B,7,0,0,7,1I6
MUP125,AD.CBI2420A BATTERY CHARGER,,,,Abi Data,,B,11,0,0,11,1I6
MUP121,AD.CBI243A NiMh 24VDC 3A CHRG,,,,Abi Data,,B,15,0,0,15,1I5
MUP105,AD.CBI245A UPS 24V OUT 5 A,,,,Abi Data,,B,4,0,0,4,1I5
MUP120,AD.CBI2801224A,,,,Abi Data,,B,2,0,0,2,1I2
MUP122,AD.DFX1524A PSU 24VDC 0.5A,,,,Abi Data,,B,12,0,0,12,1I1
MUP123,AD.DFX4524A PSU 24VDC 1.75A,,,,Abi Data,,B,8,0,0,8,1I1
MUP124,AD.DFX6024A PSU 24VDC 3A,,,,Abi Data,,B,12,0,0,12,1I1
MUP102,AD.FLEX17024A 24VDC 7.5A,,,,Abi Data,,B,5,0,0,5,1I2
MUP1025,AD.FLEX17024B 24VDC 7.5A,,,,Abi Data,,B,0,0,0,0,
MUP103,AD.FLEX28024A 24VDC 14A INPUT,,,,Abi Data,,B,10,0,0,10,1I3
MUP1061,AD.FLEX28024B 24VDC 14A,,,,Abi Data,,B,0,0,0,0,1I3
MUP1045,AD.FLEX50024B 24VDC 25A,,,,Abi Data,,B,2,0,0,2,1I6
MUP1005,AD.FLEX6005A 5VDC 5A,,,,Abi Data,,B,1,0,0,1,1I2
MUP117,AD.FLEX6012A 12VDC 6A,,,,Abi Data,,B,20,0,0,20,1I2
MUP100,AD.FLEX6024A 24VDC 3A,,,,Abi Data,,B,50,0,0,50,1I3
MUP101,AD.FLEX9024A 24VDC 5A,,,,Abi Data,,B,6,0,0,6,1I1
MUP150,AD.MRF102,Adel System MRF102 Electronic Circuit Breaker,,,Adel System,Each,B,4,0,0,4,1I1
MUP130,AD.PFAL2410,,,,Adel System,,B,2,0,0,2,1I2
MUP140,AD.PFAL2420,,,,Adel System,,B,0,0,0,0,
MUP128,AD.RJTEMP453 TEMP CABLE FOR CBI2420A,,,,Adel System,,B,11,0,0,11,1I1
MUP151,AD.SW247HP,"AC / DC and DC / DC Converters ""Not Isolated"" Low Voltage, In:24Vac / 40Vdc Out:24V 7A",,,Adel System,Each,B,2,0,0,2,1I5
XC-TIKS-012,AE.USB 3.0 TO TYPE-C CONNECTOR,,,,Aaeon,Each,B,19,0,0,19,5B1
APS1020,AG.EA-3030 Clear Silicone EA/EK Tube,,,,Gainsonic,,B,0,10,500,490,1B7
PC17010,AI CCTV CAMERA LICENSE 3Y,,,,Cisco,Each,B,38,0,0,38,1T1
XC-MM-038,AI.CB-0100,Wifi communication blox,,,AI-BLOX,Each,B,0,0,0,0,
XC-MM-037,AI.IM-0100,6-Channel MIPI interface blox,,,AI-BLOX,Each,B,0,0,0,0,
XC-MM-036,AI.MX1010-2,"Blox edge AI platform, Jetson Nano, 7"" Touch Screen",,,AI-BLOX,Each,B,0,0,0,0,
AS0195,AL. SSD 32GB ADLINK 29-67200-L400,,,,Adlink,,B,0,0,0,0,1A6
AS0734,AL.128G SSD 0-70 DEG,,,,Adlink,,B,0,0,0,0,
AS0521,AL.2.5 SATA SSD 64GB,,,,Adlink,,B,1,0,0,1,1B8
AS02813,AL.20-C1F0C-0030 CONNECTOR,,,,Adlink,,B,6,0,0,6,
AS0676,AL.24VDC 6.6A PSU 160W,,,,Adlink,,B,0,0,0,0,
AS0767,AL.256GB SATA SSD,,,,Adlink,,B,0,0,0,0,
AS0738,AL.29-44J00-4000,,,,Adlink,,B,0,0,0,0,
AS0600,AL.29-68400-7470 4G RAM,,,,Adlink,,B,0,0,0,0,
AS0686,AL.29-68400-L460,,,,Adlink,,B,1,0,0,1,
AS0766,AL.29-6B800-7410,,,,Adlink,,B,0,0,0,0,
AS0762,AL.29-6B800-74B0,,,,Adlink,,B,0,0,0,0,
AS0629,AL.29-6BC00-7420 16G RAM,,,,Adlink,,B,0,0,0,0,
AS0739,AL.29-6BC00-7450,,,,Adlink,,B,0,0,0,0,
AS07621,AL.29-6BC00-74D0,,,,Adlink,,B,0,0,0,0,
AS0776302,AL.30-21999-0000-A0,Internal Power cable (30-21999-0000-A0),,,Adlink,Each,B,0,0,0,0,
AS0776302S,AL.30-21999-0000-A0,Internal Power cable (30-21999-0000-A0),,,Adlink,Each,B,0,0,0,0,
AS0776301,AL.31-62163-1000-A0,Power adapter (31-62163-1000-A0),,,Adlink,Each,B,0,0,0,0,
AS0776301S,AL.31-62163-1000-A0,Power adapter (31-62163-1000-A0),,,Adlink,Each,B,0,0,0,0,
AS3372,AL.33-72000-0080,,,,Adlink,,B,0,0,0,0,
AS03265,AL.4010- CJ CPU COOLER W/FAN,,,,Adlink,,B,1,0,0,1,1A6
AS0516,AL.4GB DDR3L 1600 SO-DIMM,,,,Adlink,,B,1,0,0,1,
AS0374,AL.4GB DDR3L 1600 SODIMM RAM,,,,Adlink,,B,1,0,0,1,
AS0735,AL.61-56601-3140,,,,Adlink,,B,0,0,0,0,
AS06972,AL.64GB SSD,AL.92-56087-0010,,,Adlink,,B,0,0,0,0,
AS07765,AL.91-95266-0020,"INTEL AC9260 Non-VPRO WIFI/BT KIT(G)WIFI/BT KIT, INTEL, AC9260 NV",,,Adlink,Each,B,0,0,0,0,
AS07764,AL.91-95338-201E,SP2-101/156_EMI_Kits_TGL,,,Adlink,Each,B,0,0,0,0,1A5
AS07762,AL.91-A2045-000E FM BOARD(IO),,,,Adlink,,B,0,0,0,0,
AS0742,AL.91.NRE13-006,,,,Adlink,,B,1,0,0,1,
AS077615,AL.92-56076-1010 WIN10 IOT ENT,,,,Adlink,,B,2,0,0,2,
AS6972,AL.92-56087-0010,SSB064GTLC9-SB0-2A 2.5 inch SATA SSD 64GB 3D TLC 0°C ~ 70°C,,,Adlink,Each,B,0,0,0,0,
AS06461,AL.93-43401-160E (HPERC-KBLMH-100XN-RAFA),"93-43401-160E (HPERC-KBLMH-100XN-RAFA) D38999, Finned, Intel Xeon E3- 1505M v6 Quad Core 45W v6, 16GB RAM, 1x 256GB 2.5"" SATA SSD, PC104 expansion card (Xtreme I/O ADC-DAC DAG 004)",,,Adlink,Each,B,0,10,0,-10,
AS07761,AL.93-P1100-2010+A2045-000E,,,,Adlink,,B,0,0,0,0,
AS077605,AL.93-P1100-2010SP-10WP-AL3930,,,,Adlink,,B,0,0,0,0,
AS07763,AL.93-P1300-6010 + DEV-0049096 (Sample),"SP2-15WP-TGL, i3-1115G4E, 15.6” FHD, PCAP touch, 8GB RAM, 128GB SSD, heatsink",,,Adlink,Each,B,1,0,0,1,1A5
AS90041,AL.95-32100-6310,SSB512GTLC9-SB2-4A 2.5 inch SATA SSD 512GB 3D TLC 0°C ~ 70°C,,,Adlink,Each,B,1,0,0,1,1A6
AS9004,AL.95-321000-5210 SSD,,,,Adlink,,B,0,0,0,0,
AS0656,AL.ABX-6310-BP,,,,Adlink,,B,2,0,0,2,
AS02245,AL.AC-DC ADAPTER 160 WATTS,,,,Adlink,,B,2,0,0,2,
AS0608,AL.AC-DC ADAPTER 40W,,,,Adlink,,B,0,0,0,0,
AS0770,AL.ACL-10137-1MM,,,,Adlink,,B,0,0,0,0,
AS0205,AL.ACL-102100-1,,,,Adlink,,B,0,0,0,0,
AS0689,AL.ACL-10S68-1 DIO LINK CBL,,,,Adlink,,B,0,0,0,0,
AS03815,AL.AMITX-BT-I-J1900,,,,Adlink,,B,1,0,0,1,1A8
AS03818,AL.AMITX-IB-I,,,,Adlink,,B,1,0,0,1,1A5
AS03825,AL.AMITX-SL-G-H110,,,,Adlink,,B,1,0,0,1,1A8
AS1805,AL.AMITX-SL-G-Q170(G),,,,Adlink,,B,0,0,0,0,
AS0670,AL.BLANK PLATE FOR MXE-212,,,,Adlink,,B,10,0,0,10,
AS0670A,AL.BLANK PLATE FOR MXE-212BSH,,,,Adlink,,B,0,0,0,0,
AS0589,AL.CEXPRESS-SL-I3-6100U -40+85,,,,Adlink,,B,0,0,0,0,
AS0311,AL.CM-920-X-01,,,,Adlink,,B,1,0,0,1,1A8
AS19072,AL.CM2-420-R-01 ETT -40 TO +85,,,,Adlink,Each,B,0,0,0,0,
AS12866,AL.CM2-620-R-11 + 128MB ETT,EOL product,,,Adlink,,B,0,0,0,0,
AS0378,AL.CM2-BT2-E3825,,,,Adlink,,B,4,0,0,4,1A5
AS0378A,AL.CM2-BT2-TM-10 (Heat Sink suit AS0378),,,,Adlink,Each,B,0,0,0,0,
AS0379,AL.CM2-BT2-X-10 (Cable Kit),,,,Adlink,,B,0,0,0,0,1A5
AS0622,AL.CM3-430-R-12D-ETT,,,,Adlink,,B,0,0,0,0,1A6
AS0640,AL.CM3-430-X-01 CABLE KIT,,,,Adlink,,B,0,0,0,0,1A8
AS03845,AL.CORE I3-6100TE 2.7GHZ,,,,Adlink,,B,1,0,0,1,1A8
AS0727,AL.CPCI-3620D/E3845/M4G/S32,,,,Adlink,,B,0,0,0,0,
AS0728,AL.CPCI-3E10,,,,Adlink,,B,0,0,0,0,
AS07261,AL.CPCIS-2632,,,,Adlink,Each,B,0,0,0,0,
AS0331,AL.CPS-H640/48,,,,Adlink,,B,0,0,0,0,
AS0672,AL.CT-3620CB/E3845/M4G/S32 ETT,,,,Adlink,,B,2,0,0,2,
AS0724,AL.CT-3620MRX/E3845/M4G/S32,,,,Adlink,,B,0,0,0,0,
AS0679,AL.CT-3620MRX/E3845/M4G/S32 ETTCC,,,,Adlink,,B,0,0,0,0,
AS02285,AL.DAQE-2213,,,,Adlink,,B,0,0,0,0,
AS0407,AL.DDR3 1600 204P 8 GB IND,,,,Adlink,,B,0,0,0,0,
AS0404,AL.DDR3L 1333 204P 2B,,,,Adlink,,B,1,0,0,1,
AS0373,AL.DDR3L 1600 204P 2GB,,,,Adlink,,B,1,0,0,1,
AS0430,AL.DDR3L 1600 204P 8GB W/ECC I,,,,Adlink,,B,4,0,0,4,
AS0771,AL.DIN-100S-01,,,,Adlink,,B,0,0,0,0,
AS0769,AL.DIN-37D-01,,,,Adlink,,B,0,0,0,0,
AS0227,AL.DIN-68S-01,,,,Adlink,,B,0,0,0,0,
AS0426,AL.ETX-BT-E3815,,,,Adlink,,B,1,0,0,1,
AS0709,AL.ETX-PROTO(L),,,,Adlink,,B,1,0,0,1,
AS1011,AL.EXPRESS-CBRE-L,,,,Adlink,,B,1,0,0,1,
AS0761,AL.EXPRESS-CFE-E-2176-3DIMM,,,,Adlink,,B,0,0,0,0,
AS0683,AL.EXPRESS-SL-I5-6440EQ,,,,Adlink,,B,0,0,0,0,1A5
AS04311,AL.Express-BD7-D1539,,,,Adlink,Each,B,0,0,0,0,
SERVICE05,AL.G2-SY-CON2 SM COMMISSION,,,,Adlink,,B,0,0,0,0,
AS0646,AL.HPERC-IBRMH-B01SN-RAFA,,,,Adlink,,B,0,0,0,0,
AS0647,AL.HPERC-X-03,58-99257-0240 HPERC breakout cable kit for HPERC-KBLMH-100XN-RAFA,,,Adlink,Each,B,0,0,0,0,
