salesEmployee,dateCreated,soNumber,customerCode,customerName,custOrderNum,orderAmountInAUD,orderAmountInUSD
-No Sales Employee-,22/07/20,400177,LAST4,Laserdyne Technologoes,21063,1063.99,700
Alanna Vial,06/07/20,400006,ALTRAC,Altrac AG,89609,36024.33,23332.96
Alanna Vial,07/07/20,400020,ACVI2,Acu-Vib,Email-Julian Kielt,180,0
Alanna Vial,07/07/20,400023,AVIN6U,Audio Visual Image'Nation Pty Ltd,00545399,105125.84,68500
Alanna Vial,07/07/20,400028,AVIN6U,Audio Visual Image'Nation Pty Ltd,00545475,115653.78,75360
Alanna Vial,07/07/20,400029,MET,Metro Trains Melbourne P/L,MTM15931,2485,0
Alanna Vial,07/07/20,400039,MET,Metro Trains Melbourne P/L,MTM17318,2895,0
Alanna Vial,07/07/20,400041,CHIP0,Chiptech Limited,PO046706,5668,0
Alanna Vial,08/07/20,400048,BRHAD8,Brad Hards,Brad Hards,690,0
Alanna Vial,08/07/20,400049,PRMA0,Progress Rail Manufacturing Corporation |,4502110753,6440,0
Alanna Vial,09/07/20,400053,COTE2U,Cognian Technologies,CPLP-0081,1382.27,896.68
Alanna Vial,09/07/20,400054,PRMA0,Progress Rail Manufacturing Corporation |,4501940118,460,0
Alanna Vial,09/07/20,400057,UGLR2,UGL Rail Services,4501467544,4600,0
Alanna Vial,09/07/20,400061,AGDE2,Attorney General's Department,Craig Wi - Credit card,2925,0
Alanna Vial,09/07/20,400065,PRMA0,Progress Rail Manufacturing Corporation |,4502114877,2760,0
Alanna Vial,09/07/20,400066,BEEN3,Bell Environmental,107483,1329,0
Alanna Vial,09/07/20,400070,AUMA4,Automap,PO-0017,3482.5,0
Alanna Vial,10/07/20,400077,BHPS2,Bluescope Steel Limited,4801036199,5445,0
Alanna Vial,10/07/20,400082,RCTE6,Remote Control Technologies P/L,213224,845,0
Alanna Vial,14/07/20,400108,COTE2U,Cognian Technologies,CPLPO-0086,881.85,575.05
Alanna Vial,14/07/20,400109,COTE2U,Cognian Technologies,CPLPO-0087,881.85,575.05
Alanna Vial,14/07/20,400110,COTE2U,Cognian Technologies,CPLPO-0088,881.85,575.05
Alanna Vial,15/07/20,400135,COTE2U,Cognian Technologies,CPLPO-0083,1215.17,788.4
Alanna Vial,16/07/20,400147,ACVI2,Acu-Vib,EM:Juliian Kielt,1014.1,0
Alanna Vial,20/07/20,400152,COTE2U,Cognian Technologies,CPLO-0082,6513.41,4250
Alanna Vial,20/07/20,400154,MET,Metro Trains Melbourne P/L,MTM21831,4535,0
Alanna Vial,20/07/20,400158,PRMA0,Progress Rail Manufacturing Corporation |,4502122331,11040,0
Alanna Vial,21/07/20,400174,ZIGO2,Ear Pro Pty Ltd,Pickup - Robin,1560,0
Alanna Vial,22/07/20,400182,MMCASH,Cash Account,Email: J Kim,79.55,0
Alanna Vial,23/07/20,400191,EXTE3U,Extel Technologies Pty Ltd,P62000,824.35,551
Alanna Vial,24/07/20,400200,COTE2U,Cognian Technologies,CPL0-0096,1942.92,1298.45
Alanna Vial,24/07/20,400201,COTE2U,Cognian Technologies,CPL0-0094,1093.08,730.5
Alanna Vial,27/07/20,400213,PRMA21,Progress Rail Australia P/L,PO-0775770-1,2490,0
Alanna Vial,27/07/20,400216,COTE2U,Cognian Technologies,CPLPO-0093,649.35,430
Alanna Vial,28/07/20,400219,BMDS4,Bdms Engineering,CC: Phone order,905,0
Alanna Vial,28/07/20,400224,ZIGO2,Ear Pro Pty Ltd,Robin,1300,0
Alanna Vial,03/08/20,400261,UGLR2,UGL Rail Services,4501483045,7360,0
Alanna Vial,04/08/20,400271,MMCASH,Cash Account,Initiative Scientific Australia P/L,900,0
Alanna Vial,05/08/20,400275,PRMA21,Progress Rail Australia P/L,PO-076618-1,498,0
Alanna Vial,05/08/20,400276,AVIN6U,Audio Visual Image'Nation Pty Ltd,PO500161,135663.92,90420
Alanna Vial,06/08/20,400277,AMEQ2,Australian Mining Equipment Pty Ltd,PO224122,220,0
Alanna Vial,06/08/20,400279,APCT5U,APC Technology Pty Ltd,PO24945,2086.13,1400
Alanna Vial,06/08/20,400280,AURIZ4,Aurizon Operations Ltd,4502266682,945,0
Alanna Vial,07/08/20,400285,POAU3,Powercor Australia Ltd,4268684,8225,0
