supplierCode,supplierName,supplierNotes
AASE8,Allied Automation Security & Electrical,
ADAU2,Advantech Australia Pty Ltd,
ADDO,Addonics Technology,
ADEL0,Adelsystem Intergrated Electronic,
ADMI3,Adm Systems Pty Ltd,
ADTE0,Adlink Technology Inc,
AEAU2,Arrow Electronics Australia Pty Ltd,
ALDA02,Allied Data Systems Pty Limited,
ALEN3,Alpha Energy,
AMDI8,Amdi Pty Ltd,
AMPL0,Advanced Micro Peripherals Ltd,
AMTE2,Ampec Technologies Pty Ltd,
APLEXO,Aplex Technology Inc,
ARTE00,Astec International Limited,
ARTI0,"Artila Electronics Co., Ltd",
ASGA2,Associated Gaskets Pty Ltd,
ASLT0,Automated Solutions Ltd,
AUSP2,Thomas Marsh & Co Pty Ltd,
AVSY0,Aviosys International Inc,
BENBRO,Benbro Electronics,
BRFO2,Brayfords Engineering,
BRST8,Teledyne,
BWFM8,Battery World Fairy Meadow,
CACO0,Cambridge Connectors,
CAFX4,Camera Fx Electronic Security,
CAGR8,The Cardan Group Pty Ltd,
CAKI0,Cathay Kim Co Ltd,
CASE8,Cambush Sercurity Solutions Nt Pty Ltd,
CAWH8,Campbells Wholesale Pty Ltd,
CCSO8,Choice Computers Solutions,
CDJR8,Cdj Rubber Products,
CNSPA2,Cns Precision Assembly,
COAP0,Control Applications Ltd,
COLT8,COLTERLEC ELECTRICAL ENGINEERING PRODUCTS,
CONE0,Conel S.R.O,
COSO8,Comnet Solutions,
COTE0,Connect Tech Inc.,
CRGK0,"Cross Gate Korea Co., Ltd",
CULO0,Current Logic Group Ltd,
DAYS8,Days Industrial,
DEBE4S,Debetrek,
DIME8,Dimension 1,
DITP8,Diamond Traffic Products,
DLSE8,Detector Loop Services Pty Ltd,
DOEL0,Douglas Electronics Inc,
DRPR2,Derby Rubber Products Pty Ltd,
DSCO0,Diamond Systems Corporation,
DUXT8,Duxtel Pty Ltd,
ELAL2,Electronic Alliance,
ELAL2U,Electronic Alliance (USD),
ELDI2,Electus Distribution Pty Ltd,
EMTE3,Embedded Technologies Pty Ltd,
EPAS8,Enviro Power & Security,
ESMAR8,Esmart 21,
ESTR0,Estron A/S,
ETMP2,Etm Pacific Pty Ltd,
EXTE8,Excel Technology Co  Pty Ltd,
FARN2,Element14 Pty Ltd,A/C: ST 53
FEDU8,Fenner Dunlop,
FJLA2,FJ Lambert & Co Pty Ltd,
FLPE0,Fluid Power Energy,
GAGA2,Tucks Industrial Packings & Seals Pty Ltd,
GASO0,Gain Sonic Hearing Snc.,
GEAS0,Gett Asia Ltd,
GEMA2,Gemalto Pty Ltd,
GENO0,Semtech Canada Corporation,
GLYN2,Glyn,
GRAU8,Gcp Australia Pty Ltd,
GSYE0,Soundmax Co Ltd,
HARB2,Harbuch Electronics,
HDLO2,Hornsby District Locksmith P/L,
HIGH0,Highlight Manufacturing Corp,
HOHO8,Hollyhock Batteries Plus,
HSCO0,Hongkong Superbat Co Ltd,
IDCO0,Innodisk Corporation,
IHELP0,Ihelper Inc,
ILFA8,Illawarra Fasteners Pty Ltd,
