supplierCode,supplierName,supplierCurrency,billingAddress,creationDate
AASE8,Allied Automation Security & Electrical,AUD,"28 Prime Street, Thomastown VIC 3074 Australia",29/06/2020
ADAU2,Advantech Australia Pty Ltd,AUD,"20 - 22 Smeaton Avenue, Dandenong South VIC  Australia",29/06/2020
ADDO,Addonics Technology,USD,"1918 Junction Road, San Jose California  95131 USA",29/06/2020
ADEL0,Adelsystem Intergrated Electronic,EUR,"Vial.Barchi, 9/B 42124 Reggio Emil,    Italy",29/06/2020
ADMI3,Adm Systems Pty Ltd,AUD,"26-28 Garden Blvd, Dingley Village VIC 3172 Australia",29/06/2020
ADTE0,Adlink Technology Inc,USD,"9F , No. 166 Jian Yi Road, Chungho City Taipei   Taiwan",29/06/2020
AEAU2,Arrow Electronics Australia Pty Ltd,AUD,"PO Box 664, Bayswater VIC 3153 Australia",29/06/2020
ALDA02,Allied Data Systems Pty Limited,AUD,"10/176 South Creek Road, Cromer NSW 2099 Australia",29/06/2020
ALEN3,Alpha Energy,AUD,"PO Box 101, Tullamarine VIC 3043 Australia",29/06/2020
AMDI8,Amdi Pty Ltd,AUD,"Unit 2 55 Tradelink Road, Hillcrest QLD 4118 Australia",29/06/2020
AMPL0,Advanced Micro Peripherals Ltd,USD,"1 Harrier House, Sedgeway Business Park, Witchford, Cambridgeshire  CB6 2HY United Kingdom",29/06/2020
AMTE2,Ampec Technologies Pty Ltd,AUD,"Unit 1 63-79 Parramatta Rd, Silverwater NSW 2128 Australia",29/06/2020
APLEXO,Aplex Technology Inc,USD,"15F-1., No.186 Jian Yi Road. Zhonghhe Dist., New Taipei City  235 Taiwan",29/06/2020
ARTE00,Astec International Limited,USD,"2 Wing Yip Street Kwun Tong, Kowloon   Hong Kong",29/06/2020
ARTI0,"Artila Electronics Co., Ltd",USD,"9F., No. 529-1, Zhongzheng Road, Xindian Dist., New Taipei City  23148 Taiwan",29/06/2020
ASGA2,Associated Gaskets Pty Ltd,AUD,"2/28-30 Glastonbury Ave, Unanderra NSW 2526 Australia",29/06/2020
ASLT0,Automated Solutions Ltd,NZD,"608 Rosebank Road Avondale, Auckland  1026 New Zealand",29/06/2020
AUSP2,Thomas Marsh & Co Pty Ltd,AUD,"125 Mica St, Carole Park QLD 4300 Australia",29/06/2020
AVSY0,Aviosys International Inc,USD,"9F, No.101 Pan-Hsin Rd Pan-Chiao 22066, New Taipei City   Taiwan",29/06/2020
BENBRO,Benbro Electronics,AUD,"49-51 Mitchell Road, Brookvale NSW 2100 Australia",29/06/2020
BRFO2,Brayfords Engineering,AUD,"13 Charles Street, St Marys NSW 2760 Australia",29/06/2020
BRST8,Teledyne,USD,"12051 Riverside Way, Richmond Bc  V6W 1K7 Canada",29/06/2020
BWFM8,Battery World Fairy Meadow,AUD,"Unit 1A, 135 Princess Highway, Fairy Meadow NSW 2519 Australia",29/06/2020
CACO0,Cambridge Connectors,USD,"Denny Industrial Centre, Waterbeach, Cambridge   United Kingdom",29/06/2020
CAFX4,Camera Fx Electronic Security,AUD,"PO Box 1483, Paradise Point QLD 4216 Australia",29/06/2020
CAGR8,The Cardan Group Pty Ltd,AUD,"PO Box 547, Hornsby NSW 2077 Australia",29/06/2020
CAKI0,Cathay Kim Co Ltd,USD,"2 No 153 Yen Shou St, Taipei   Taiwan",29/06/2020
