#,itemNo,description,systemDate,postingDate,document,warehouse,quantity,cost,transactionValue,cumulativeQuantity,cumulativeValue,currency,rate,supplier
1,53/2B,ST.LINEAR P/S DUAL 12-15VDC OP,,,,,,0,0,0,0,,,
2,53/2TAPB,"ST.53/2 +-5 VOLTS, female banana connectors",,,,,,0,0,0,0,,,
3,53/3BT,ST.12-15V 2.3A POWER SUPPLY,,,,,,0,0,0,0,,,
4,53/3M 53,ST.SERIES LINEAR POWER SUPPLY - MODULAR,,,,,,0,0,0,0,,,
5,53/3TB,ST.LINEAR P/S 12-15VDC 2.5A,,,,,,0,0,0,0,,,
6,53/3TB-CCL,ST.LINEAR P/S 12-15VDC 2.3A,,,,,,0,0,0,0,,,
7,53/4B,"ST.LINEAR P/S,24VDC 2 A",,,,,,0,0,0,0,,,
8,53/4BT,ST.LINEAR P/S 24VDC 2A,,,,,,0,0,3,0,,,
9,53/4TB,ST.LINEAR P/S 24VDC 2A,,,,,,0,0,0,0,,,
10,53/5BT,ST.5V LINEAR POWER SUPPLY,,,,,,0,0,0,0,,,
11,ACP285,KE.0009-153218 4PIN SOCK WO/FL,,,,,,0,0,42,0,,,
12,AMD0950,OY.9697QM773Q-D,,,,,,0,0,0,0,,,
13,AMD0955,OY.9699M19768,,,,,,0,0,0,0,,,
14,AMD1004,NS.2 CORE 7.5A DBL INSL CABLE,,,,,,0,0,0,0,,,
15,AMD1005,OY.VENUS-222ET-C5-1010,,,,,,0,0,0,0,,,
16,AMD1006,OY.VENUS-222ET-C7-1010,,,,,,0,0,0,0,,,
17,AMD10061,OY.VENUS-222ST-C7-9999,,,,,,0,0,0,0,,,
18,AMD1008,OY.VENUS-222ET-C8-1010,,,,,,0,0,0,0,,,
19,AMD101,OY.OPT-ESL1,,,,,,0,0,0,0,,,
20,AMD10101,OY.VENUS-222ET-C6-1010,,,,,,0,0,0,0,,,
21,AMD1017,OY.RS-VENUS-173ET-1010,,,,,,0,0,0,0,,,
22,AMD1028,OY.MCT-K100,,,,,,0,0,0,0,,,
23,AMD103,OY.OPT-ESL3,,,,,,0,0,0,0,,,
24,AMD1035,OY.R-MATE-2201ET-0002,,,,,,0,0,0,0,,,
25,AMD1040,OY.RS-MATE2-2412- 0004,,,,,,0,0,0,0,,,
26,AMD10401,OY.RS-MATE2-2412-P3-A2,,,,,,0,0,1,3386.31,,,
27,AMD1044,OY.MATE-2203ST-C31-1010,,,,,,0,0,3,10406.56,,,
28,AMD1045,OY.MATE-2403ST-C4-1010,,,,,,0,0,0,0,,,
29,AMD1048,OY.MATE-2403ST-C8-1010,,,,,,0,0,0,0,,,
30,AMD1049,OY.MATE-2205-P2-C4-0810,,,,,,0,0,0,0,,,
31,AMD10491,OY.P502205020,,,,,,0,0,0,0,,,
32,AMD1062,OY.UP-L22-A2-1010,,,,,,0,0,0,0,,,
33,AMD1064,OY.UP-L22-A1-1010,,,,,,0,0,0,0,,,
34,AMD10645,OY.UP-P22-A3-1010,,,,,,0,0,4,1840.25,,,
35,AMD106461,OY.SHEPPID UPOWER P22 (XXL) SAMPLE KIT WITH CABLE,,,,,,0,0,0,0,,,
36,AMD1065,OY.1255301501,,,,,,0,0,12,834.72,,,
37,AMD1066,OY.OPM-C02F-A1,,,,,,0,0,0,0,,,
38,AMD1067,OY.OPM-C06W-A6,,,,,,0,0,0,0,,,
39,AMD1068,OY.OPM-C07W-A2,,,,,,0,0,0,0,,,
40,AMD1070,OY.OPM-C09W-A0,,,,,,0,0,0,0,,,
41,AMD1076,OY.OPM-C09W-A4,,,,,,0,0,0,0,,,
42,AMD1080,OY.968C128G0W,,,,,,0,0,0,0,,,
43,AMD10805,OY.968C128G2A,,,,,,0,0,0,0,,,
44,AMD1082,OY.968C128G37,,,,,,0,0,0,0,,,
45,AMD1083,OY.968C256G35,,,,,,0,0,0,0,,,
46,AMD1085,OY.OS-W7UE-ON0001,,,,,,0,0,0,0,,,
47,AMD1086,OY.OS-WE8P-ON0002,,,,,,0,0,0,0,,,
48,AMD1087,OY.WINDOWS 10,,,,,,0,0,0,0,,,
49,AMD1088,OY.OS-W7PE-ON0005,,,,,,0,0,0,0,,,
50,AMD10885,OY.OS-W10N-ON0002,,,,,,0,0,0,0,,,
51,AMD1089,OY.OS-W10V-ON0002,,,,,,0,0,0,0,,,
52,AMD10902,OY.OPM-P01T-03 (STD),,,,,,0,0,20,3477.03,,,
53,AMD10911,OY.9789OMD110,,,,,,0,0,20,3079.96,,,
54,AMD10922,OY.OPM-P02T-03 (XL),,,,,,0,0,404,67289.9,,,
55,AMD10922(5),OY.OPM-P02T-03 (XL),,,,,,0,0,0,0,,,
56,AMD10922.DEMO,OY.OPM-P02T-03,,,,,,0,0,0,0,,,
57,AMD10922A,OY.9689BAXL13 ( XL Batteries with version 2 electronics),,,,,,0,0,2,300,,,
58,AMD10922B,OY.9789BAXL01 XL Battery,,,,,,0,0,14,2429.56,,,
59,AMD10933,OY.OPM-P03T-03 (XXL),,,,,,0,0,682,126376.12,,,
60,AMD1095,OY.OPM-P02C-02,,,,,,0,0,0,0,,,
61,AMD1096,OY.OPM-P03C-A1,,,,,,0,0,0,0,,,
